Test RMSE,Fit Time,Test Time,Name
0.9362381510269252,0.7929425239562988,0.07380828857421876,SVD
0.92165125169885,17.3007728099823,2.39889178276062,SVD++
0.9447719482755179,0.4960013389587402,1.4958381175994873,Slope One
0.9621381616515647,1.4208606243133546,0.11321015357971191,NMF
1.526137187181395,0.07824292182922363,0.043725013732910156,Normal Predictor
0.9302778857882622,0.5534568309783936,2.0383713245391846,KNN Baseline
0.9510266948111965,0.41167621612548827,1.8998823165893555,KNN with Means
0.9784666210279201,0.38705058097839357,1.8081138610839844,KNN Basic
0.95023425256283,0.4653767108917236,2.053928089141846,KNN with ZScore
0.9437983881480208,0.18163647651672363,0.03599505424499512,Baseline Only
0.9647085581491204,1.6779094219207764,0.05492444038391113,CoClustering
